COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13044 
 NOMBRE     : ZIMAPAN 
 ESTADO     : HIDALGO 
 MUNICIPIO  : ZIMAPÁN 
 SITUACIÓN  : SUSPENDIDA 
 U. ADMNVA. : DIRECCIÓN LOCAL HIDALGO 
 CVE-OMM    :   
 LATITUD    : 20.82361111 ° 
 LONGITUD   : -99.4275 ° 
 ALTITUD    : 2075 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1941-10-03	13	NULO	NULO	NULO
1941-10-04	8.5	NULO	30	19.5
1941-10-05	0	NULO	28	18
1941-10-06	0	NULO	30	18.5
1941-10-07	0	NULO	30	17
1941-10-08	0	NULO	30	18
1941-10-09	0	NULO	28.5	17
1941-10-10	6.5	NULO	28	13
1941-10-11	0	NULO	24	16
1941-10-12	0	NULO	25	15
1941-10-13	0	NULO	26.5	16.5
1941-10-14	0	NULO	28	17
1941-10-15	0	NULO	29	17
1941-10-16	0	NULO	26	18
1941-10-17	0	NULO	25	15
1941-10-18	0	NULO	30	17
1941-10-19	20.7	NULO	31	16
1941-10-20	0	NULO	28	14
1941-10-21	0	NULO	28	16
1941-10-22	0	NULO	29	15
1941-10-23	0	NULO	28	17
1941-10-24	0	NULO	25	18
1941-10-25	0	NULO	25	19
1941-10-26	0	NULO	24	17
1941-10-27	0	NULO	27	17
1941-10-28	0	NULO	31	18
1941-10-29	1.9	NULO	29	16
1941-10-30	7	NULO	32	17
1941-10-31	0	NULO	29	18
1941-11-01	0	NULO	29	18
1941-11-02	0	NULO	29	18
1941-11-03	0	NULO	31	15
1941-11-04	3	NULO	29	15
1941-11-05	0	NULO	28	16
1941-11-06	1	NULO	29	14
1941-11-07	0.01	NULO	26	16
1941-11-08	0	NULO	26	9
1941-11-09	0	NULO	24	17
1941-11-10	0	NULO	24	15
1941-11-11	0	NULO	24	14
1941-11-12	0	NULO	27	14
1941-11-13	0.01	NULO	26	17
1941-11-14	0	NULO	26	17
1941-11-15	0	NULO	24	17
1941-11-16	0	NULO	26	16
1941-11-17	0	NULO	25	16
1941-11-18	0	NULO	23	16
1941-11-19	0	NULO	22	15
1941-11-20	0	NULO	22	15
1941-11-21	0	NULO	28	14
1941-11-22	0	NULO	32	14
1941-11-23	1	NULO	30	16
1941-11-24	0	NULO	30	17
1941-11-25	0	NULO	24	14
1941-11-26	0	NULO	13	8
1941-11-27	0.01	NULO	12	10
1941-11-28	0	NULO	13	6
1941-11-29	0	NULO	21	13
1941-11-30	1	NULO	26	13
1941-12-01	5	NULO	29	11
1941-12-02	0	NULO	28	13
