COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13048 
 NOMBRE     : TLANCHINOL (SMN) 
 ESTADO     : HIDALGO 
 MUNICIPIO  : TLANCHINOL 
 SITUACIÓN  : OPERANDO 
 U. ADMNVA. : DIRECCIÓN LOCAL HIDALGO 
 CVE-OMM    :   
 LATITUD    : 20.99166667 ° 
 LONGITUD   : -98.65861111 ° 
 ALTITUD    : 1542 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1985-02-11	2.3	NULO	NULO	NULO
1985-02-12	0	NULO	19	4
1985-02-13	0	NULO	16.5	8
1985-02-14	1.5	NULO	20	8
1985-02-15	0	NULO	16	9
1985-02-16	0	NULO	19	10
1985-02-17	0	NULO	23	9
1985-02-18	1.9	1.5	21	12
1985-02-19	1.5	1.8	18	11
1985-02-20	0	1.1	17	10
1985-02-21	0	1.2	20	13
1985-02-22	0	1	20	13
1985-02-23	0	4	24	14
1985-02-24	1.8	0.1	18	14
1985-02-25	0	0.6	12	8
1985-02-26	2.5	1.5	16	11
1985-02-27	9.5	2.4	15	11
1985-02-28	1.9	3.6	18	9
1985-03-01	0	1.1	21	11
1985-03-02	0	2.1	20	11
1985-03-03	0	4.1	23	13
1985-03-04	1.9	3.6	26	15
1985-03-05	3.3	1	19	11
1985-03-06	3.5	2.1	19	11
1985-03-07	0	1	18	12
1985-03-08	1.5	1.3	18.5	11
1985-03-09	2.2	0.9	17	12
1985-03-10	0	2.5	19	11
1985-03-11	0	2.6	23	12
1985-03-12	0	5	23	13
1985-03-13	0	2.2	26	13
1985-03-14	4.5	4.6	25	10
1985-03-15	1.2	3.3	24	11
1985-03-16	3.5	3.9	21.5	12
1985-03-17	9.5	0.8	21	9
1985-03-18	3.3	1.3	20	9
1985-03-19	0	0.8	22	9
1985-03-20	1.5	0.5	27	9
1985-03-21	1.8	0.3	18	8
1985-03-22	0	2.9	20	10
1985-03-23	0	4.7	22	10
1985-03-24	1.1	4.2	21	13
1985-03-25	0	3.7	22	14
1985-03-26	0	5.5	27	14
1985-03-27	0	3.8	24	15
1985-03-28	0	3.8	26	16
1985-03-29	0	4.6	30	17
1985-03-30	2.8	6.4	30	20
1985-03-31	0	5.7	21	10
1985-04-01	0	3.7	20	9
1985-04-02	0	2.4	17	9
1985-04-03	0	5.2	29	9
1985-04-04	0	5.8	29	13
1985-04-05	0	6.7	28	20
1985-04-06	0	6.1	25	18
1985-04-07	36.2	5	24	15
1985-04-08	68.5	6.3	19	13
1985-04-09	6.5	6.7	16	12
1985-04-10	1.5	6.6	16	12
1985-04-11	6.8	6.3	18	10
1985-04-12	34.7	4.3	20	13
1985-04-13	21.3	4.7	19	12
1985-04-14	1.3	6.8	19	12
1985-04-15	0	4.5	19	13
1985-04-16	0	2.9	26	14
1985-04-17	0	2.9	19	13
1985-04-18	0	4.1	22	14
1985-04-19	0	0.9	23	15
1985-04-20	0	5.2	25	15
1985-04-21	0	2.5	25	16
1985-04-22	0	3.9	26	16
1985-04-23	11.7	4.9	28	18
1985-04-24	2.5	2.2	24	15
1985-04-25	0	4.7	22	14
1985-04-26	0	5.2	29	14
1985-04-27	0	5.7	29	14
1985-04-28	0	3.8	25	19
1985-04-29	0	4.3	27	16
1985-04-30	0	5.6	26	17
1985-05-01	0	5	26	16.5
1985-05-02	8.9	2.8	22.5	16
1985-05-03	1.1	0.4	19.5	13
1985-05-04	0	2.6	20.5	13
1985-05-05	0	3	21	13.5
1985-05-06	0	2.6	23	15
1985-05-07	0	1.7	25	15
1985-05-08	0	1.8	23.5	15.5
1985-05-09	0	3.9	24.5	19
1985-05-10	0	4.8	25	15
1985-05-11	0	3.2	28.5	16.5
1985-05-12	0	3.2	28	18
1985-05-13	0	2	28.5	17
1985-05-14	1.1	4.3	25.5	18
1985-05-15	7.3	1.2	21	19
1985-05-16	0	1	22	18
1985-05-17	13.8	3.9	22.5	17
1985-05-18	5.5	4.2	24.5	16.5
1985-05-19	7.5	3.6	23.5	15.5
1985-05-20	0	2.1	27	15
1985-05-21	10.8	3.7	29.5	19
1985-05-22	0	2.8	26	13
1985-05-23	0	2	26	17.5
1985-05-24	0	1.5	26.5	16.5
1985-05-25	0	3.1	27.5	17
1985-05-26	0	2.3	21	17
1985-05-27	0	2.4	27.5	17.5
1985-05-28	0	3.8	25.5	17.5
1985-05-29	0	5	26	16
1985-05-30	0	4.1	27.5	16
1985-05-31	0	2.1	25.5	15
1985-06-01	0.01	0.9	26.5	16
1985-06-02	1.5	3.5	25	15.5
1985-06-03	4.9	2.8	24.5	17
1985-06-04	0.01	1.6	22.5	16.5
1985-06-05	1.5	1	27	16
1985-06-06	9.2	4.2	24.5	18
1985-06-07	0.01	5.2	23.5	16.5
1985-06-08	0.01	5.8	24.5	16
1985-06-09	0.01	3	24	15.5
1985-06-10	0.01	1	26	16
1985-06-11	41.2	2.8	29.5	17
1985-06-12	12.8	5	24	14.5
1985-06-13	42.9	3.7	29.5	16
1985-06-14	0.01	3	24	16.5
1985-06-15	3.5	2.2	24.5	17.5
1985-06-16	30.5	3.4	25.5	16
1985-06-17	28.7	3.5	28.5	16.5
1985-06-18	28.9	2.2	30	16
1985-06-19	126.5	2.7	33.5	15
1985-06-20	23.3	3	32	16
1985-06-21	0.01	2.4	25	14
1985-06-22	22.2	1.7	27	18.5
1985-06-23	3	1.7	22	16
1985-06-24	14.3	2.6	23.5	16.5
1985-06-25	4.2	3.3	23.5	16
1985-06-26	4.5	2.1	22	15
1985-06-27	31.5	3.4	22	15
1985-06-28	58.5	3.5	21	16
1985-06-29	4.8	2.4	20.5	16
1985-06-30	7.3	4.1	19.5	14.5
1985-07-01	15.7	3.8	20	14
1985-07-02	6.5	3.6	22	14
1985-07-03	7.3	3.4	22	14
1985-07-04	29.9	3.3	27	14
1985-07-05	0.01	2.5	25	15
1985-07-06	16.2	3.3	24	17
1985-07-07	7.9	3.4	23	17
1985-07-08	3.5	2.8	23	15
1985-07-09	1.1	2.5	27	16
1985-07-10	0.01	3.8	25	15
1985-07-11	0.01	3.6	24	16
1985-07-12	0.01	3.9	22	15
1985-07-13	54.9	4.1	21	15
1985-07-14	96.5	3.9	20	16
1985-07-15	32.5	3.6	19	15
1985-07-16	19.5	4.1	19	14
1985-07-17	1.4	1.3	23	15
1985-07-18	0.01	1	22	14
1985-07-19	0.01	2.8	24	15
1985-07-20	17.9	2.2	23	15
1985-07-21	5.8	3.5	23	15
1985-07-22	7.1	4	20	16
1985-07-23	0.01	3	24	14
1985-07-24	6.1	4.1	25	16
1985-07-25	3.5	2	24	17
1985-07-26	9.5	3	22	16
1985-07-27	10.6	3	22	15
1985-07-28	8.2	4.6	21	16
1985-07-29	68.2	4.1	22	15
1985-07-30	89.5	3.6	19	15
1985-07-31	4.5	7.2	24	16
1985-08-01	0	2.7	23	14
1985-08-02	0.01	4.6	24.5	15
1985-08-03	0	1.6	22.5	15.5
1985-08-04	0.01	2.8	22	14
1985-08-05	0	2.8	24	16
1985-08-06	0	3.6	23	16
1985-08-07	0	2.5	25	16
1985-08-08	0	2	23	16.5
1985-08-09	0	2.5	23	17
1985-08-10	0	1.5	24	17
1985-08-11	0	4	25	16
1985-08-12	0	5.1	27	17
1985-08-13	0	1.2	24	18
1985-08-14	0	2.1	23.5	16
1985-08-15	0	3.1	24	18
1985-08-16	0	1.7	23	16
1985-08-17	0	2.1	25	16
1985-08-18	0.01	2.9	28	15
1985-08-19	0	2.9	28.5	14
1985-08-20	0	1.8	25	18
1985-08-21	0	1.9	22	16
1985-08-22	0	2	23	18
1985-08-23	0	2.1	23.5	17.5
1985-08-24	0	1.4	22	17
1985-08-25	0	1.4	24	18
1985-08-26	0	2.1	22	17.5
1985-08-27	0	1.9	22	18
1985-08-28	0.01	1.2	22	18.5
1985-08-29	0.01	0.1	22	19
1985-08-30	0	2.8	25.5	19
