COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13049 
 NOMBRE     : RANCHO LA SOLEDAD (CFE) 
 ESTADO     : HIDALGO 
 MUNICIPIO  : TULA DE ALLENDE 
 SITUACIÓN  : SUSPENDIDA 
 U. ADMNVA. : ORGANISMO DE CUENCA AGUAS DEL VALLE DE MÉXICO 
 CVE-OMM    :   
 LATITUD    : 20.06666667 ° 
 LONGITUD   : -99.26666667 ° 
 ALTITUD    : 2091 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1971-08-01	0	NULO	NULO	NULO
1971-08-02	0	NULO	NULO	NULO
1971-08-03	0	NULO	NULO	NULO
1971-08-04	0	NULO	NULO	NULO
1971-08-05	0	NULO	NULO	NULO
1971-08-06	0	NULO	NULO	NULO
1971-08-07	0	NULO	NULO	NULO
1971-08-08	0	NULO	NULO	NULO
1971-08-09	0	NULO	NULO	NULO
1971-08-10	0.5	NULO	NULO	NULO
1971-08-11	19	NULO	30	12
1971-08-12	0	NULO	25	11
1971-08-13	13.7	NULO	26	13
1971-08-14	4.5	NULO	22	12
1971-08-15	0.5	NULO	23	11.5
1971-08-16	0	NULO	22	10.5
1971-08-17	0	NULO	22	8
1971-08-18	0	NULO	21	10
1971-08-19	6	NULO	23	8.5
1971-08-20	0	NULO	22	10.5
1971-08-21	0	NULO	23	10.5
1971-08-22	1	NULO	24.5	12
1971-08-23	0	NULO	19	10
1971-08-24	0	NULO	23.5	11.5
1971-08-25	NULO	NULO	21.5	10
1971-08-26	0	NULO	22.5	12
1971-08-27	0	NULO	23	8.5
1971-08-28	0	NULO	23	8
1971-08-29	0	NULO	22.5	11
1971-08-30	0	NULO	22	12
1971-08-31	0.1	NULO	23	12.5
1971-09-01	0.1	NULO	24	11.5
1971-09-02	0.5	NULO	24.5	14
1971-09-03	6.5	NULO	24	12.5
1971-09-04	NULO	NULO	23.5	11
1971-09-05	0	NULO	24	12
1971-09-06	0	NULO	25	10.5
1971-09-07	0	NULO	23.5	10
1971-09-08	0	NULO	24.5	9.5
1971-09-09	0	NULO	23.5	10
1971-09-10	0	NULO	26	8.5
1971-09-11	0	NULO	26.5	12
1971-09-12	0	NULO	27	12.5
1971-09-13	0	NULO	23	13.5
1971-09-14	NULO	NULO	24	14.5
1971-09-15	20	NULO	23	13.5
1971-09-16	12.5	NULO	24	14
1971-09-17	15.5	NULO	23.5	13
1971-09-18	0	NULO	23.5	12.5
1971-09-19	0	NULO	23	11.5
1971-09-20	0	NULO	23	11
1971-09-21	0	NULO	23	10.5
1971-09-22	0	NULO	22.5	9.5
1971-09-23	0	NULO	21.5	10.5
1971-09-24	8	NULO	22	12
1971-09-25	3.5	NULO	22.5	12
1971-09-26	0	NULO	23	11
1971-09-27	20.5	NULO	24	12
1971-09-28	13.5	NULO	23.5	12.5
1971-09-29	13.5	NULO	20	12.5
1971-09-30	4	NULO	19	13.5
1971-10-01	1	4.35	22	13.5
1971-10-02	0	3.81	23	14
1971-10-03	3.5	4	22	10.5
1971-10-04	0.5	3.77	22.5	12.5
1971-10-05	0	4.55	22.5	11
1971-10-06	0	3.39	22	12.5
1971-10-07	0.1	3.11	20.5	10.5
1971-10-08	0	5.08	22	9.5
1971-10-09	2.5	3.79	22.5	12
1971-10-10	NULO	2.4	17.5	13
1971-10-11	0	3.97	22.5	11
1971-10-12	14.5	3.35	21	9
1971-10-13	33.5	3.97	23	11
1971-10-14	20	4.6	22.5	12
1971-10-15	0	3.26	23	11
1971-10-16	0.1	2.79	24.5	11.5
1971-10-17	0	3.34	24.5	11
1971-10-18	0	4.11	24	12.5
1971-10-19	0	3.83	23	11
1971-10-20	0	6.3	21.5	10.5
1971-10-21	0	1.98	19.5	10
1971-10-22	0	3.9	21.5	10.5
1971-10-23	0	4.28	20.5	9.5
1971-10-24	0	3.49	22	8.5
1971-10-25	0	3.93	24.5	8
1971-10-26	0	4.82	24.5	9
1971-10-27	0	5.39	24	9.5
1971-10-28	0	2.56	24.5	7.5
1971-10-29	0	5.6	22.5	10
1971-10-30	0	4.87	22	7
1971-10-31	0	4.34	22.5	6.5
1971-12-01	3.5	NULO	24	9
1971-12-02	0.5	NULO	22	9
1971-12-03	0	NULO	23	8.5
1971-12-04	0	NULO	23.5	7
1971-12-05	0	NULO	23	7.5
1971-12-06	0	NULO	23	6.5
1971-12-07	0	NULO	25	8.5
1971-12-08	0	NULO	24	7.5
1971-12-09	0	NULO	24	8
1971-12-10	0	NULO	24.5	6.5
1971-12-11	0	NULO	22.5	6.5
1971-12-12	0	NULO	23	7.5
1971-12-13	0	NULO	22.5	7
1971-12-14	0	NULO	24.5	7.5
1971-12-15	0	NULO	21.5	7
1971-12-16	0	NULO	24	6
1971-12-17	0	NULO	22	6.5
1971-12-18	0	NULO	17	7
1971-12-19	0	NULO	24	6
1971-12-20	0	NULO	23.5	7
1971-12-21	0.1	NULO	22	6
1971-12-22	NULO	NULO	20	7.5
1971-12-23	0	NULO	12.5	7
1971-12-24	0	NULO	19	1
1971-12-25	0	NULO	18.5	1.5
1971-12-26	0	NULO	12	3.5
1971-12-27	0	NULO	21	6
1971-12-28	0	NULO	22	5.5
1971-12-29	0	NULO	23	5.5
1971-12-30	0	NULO	22.5	6
1971-12-31	0	NULO	21	7
1972-01-01	0	3.1	22	7
1972-01-02	0	3.4	23	7.5
1972-01-03	0	4.6	24.5	8
1972-01-04	0	3	24	7
1972-01-05	0	3.1	22	7.5
1972-01-06	0	3.9	21	7.5
1972-01-07	0	3.2	20	3.5
1972-01-08	0	3.8	22	4.5
1972-01-09	0	4.1	25	5
1972-01-10	0	5	24.5	7
1972-01-11	0	2.8	24	6.5
1972-01-12	0	4.3	25	6
1972-01-13	0	4.1	23.5	7
1972-01-14	0	2.5	21.5	5.5
1972-01-15	0	3.1	12	6
1972-01-16	0	4.5	14	4.5
1972-01-17	0	2.7	21	2
1972-01-18	0	2.9	20.5	3
1972-01-19	0	3.8	20	6
1972-01-20	0	2.2	20	7.5
1972-01-21	0	5.6	24	5
1972-01-22	0	4.6	24.5	4.5
1972-01-23	0	4	23	5.5
1972-01-24	0	5.3	25	6
1972-01-25	0.5	3.5	20.5	7
1972-01-26	0	4.3	21	7
1972-01-27	0	3.7	22	5
1972-01-28	0	4.6	22	3.5
1972-01-29	0	4.2	24	3.5
1972-01-30	2.5	2.7	23	5
1972-01-31	0.1	3	19	9
1972-05-01	0	7.1	30.5	12
1972-05-02	0	7.7	30	12.5
1972-05-03	0	7.3	27	12
1972-05-04	3	5.7	26.5	9.5
1972-05-05	0	7.4	28.5	9.5
1972-05-06	0	9	30.5	12.5
1972-05-07	5	9.7	30.5	14.5
1972-05-08	0	6.9	30.5	10
1972-05-09	1	6.5	29	10.5
1972-05-10	0	7.7	29	10.5
1972-05-11	1.5	7.4	30.5	12
1972-05-12	1.5	7.8	29.5	8.5
1972-05-13	0	7.2	29	11.5
1972-05-14	0	7.6	32	12.5
1972-05-15	0	7.3	28.5	12
1972-05-16	0	7.6	30	11.5
1972-05-17	0	8.1	30.5	12.5
1972-05-18	0	7.6	28	12.5
1972-05-19	0	8.1	29	10.5
1972-05-20	0	7.6	28	10.5
1972-05-21	0	9.1	30	8
1972-05-22	0	7.9	31.5	11
1972-05-23	21.5	7.3	30.5	14
1972-05-24	9.5	6.6	30	12
1972-05-25	0	4.9	25	12
1972-05-26	2	5	27	11
1972-05-27	0	5.5	25	12
1972-05-28	0	5.7	24	11
1972-05-29	4.5	2.6	21	13
1972-05-30	1	4.4	26	11.5
1972-05-31	11.5	3.2	21	13
1972-06-01	0	3.2	22.5	12.5
1972-06-02	7	7.4	25	12
1972-06-03	0	4.1	24	11.5
1972-06-04	0	5.8	23	10
1972-06-05	0	5.2	22.5	11
1972-06-06	7.5	2.3	22	13
1972-06-07	8	2.2	23	12.5
1972-06-08	11	3.4	25	13
1972-06-09	0.1	6	25	13.5
1972-06-10	0	5.1	24	12.5
1972-06-11	1	5	23.5	14
1972-06-12	0	2.3	21	14
1972-06-13	0	6.2	25.5	14
1972-06-14	0	6.2	26	14
1972-06-15	2.5	4.9	25	14.5
1972-06-16	1.5	3.5	22	13.5
1972-06-17	0	5.7	23	12
1972-06-18	0	6.7	25	9
1972-06-19	0	6.9	27	9
1972-06-20	0	7.8	27.5	10
1972-06-21	0	6	28.5	11
1972-06-22	0	9	29	11.5
1972-06-23	0	7.9	29.5	11
1972-06-24	18	7.6	29.1	12
1972-06-25	0	4.9	25.1	12.1
1972-06-26	20	6.7	25.6	11.6
1972-06-27	1	5.5	27.1	12.1
1972-06-28	0	6.9	25.1	13.1
1972-06-29	22	6.8	22.1	10.1
1972-06-30	0	4.3	22.6	9.1
1972-07-01	0	4.4	23.6	10.1
1972-07-02	0	6.8	25.1	9.1
1972-07-03	2	3.4	23.1	12.6
1972-07-04	0	4.7	21.1	8.6
1972-07-05	0	6.1	21.1	8.1
1972-07-06	0	6.3	20.6	7.1
1972-07-07	0	6.1	22.1	7.1
1972-07-08	0	5.9	24.1	11.6
1972-07-09	0	6.3	23.6	10.1
1972-07-10	9	2.9	21.6	8.6
1972-07-11	15.5	4.1	21.1	10.1
1972-07-12	1.5	3.6	21.6	10.1
1972-07-13	0	5.4	19.6	10.6
1972-07-14	3.5	3.4	22.1	13
1972-07-15	5.5	2.3	20.1	12.6
1972-07-16	8	2.9	23.6	12.6
1972-07-17	2.5	2.4	22.1	12.1
1972-07-18	3.5	2.5	22.1	12.6
1972-07-19	14.5	5.6	22.6	11.6
1972-07-20	0	3.5	20.6	11.1
1972-07-21	0	5	22.1	11.6
1972-07-22	64	4.5	19.6	12.6
1972-07-23	0	5.5	20.1	11.1
1972-07-24	0	3.5	19.6	11.5
1972-07-25	0	3.7	18.6	11.1
1972-07-26	0	3.7	20.1	12.1
1972-07-27	1.5	5.2	22.1	12.1
1972-07-28	0	4	19.6	12.6
1972-07-29	1	4.2	20.1	7.6
1972-07-30	0	5.4	18.6	10.1
1972-07-31	0	4.8	22.1	13
1972-08-01	1	1.6	20.1	9.1
1972-08-02	0	2.4	21.6	11.1
1972-08-03	1	3.2	20.6	12.1
1972-08-04	0	6.8	22.1	13.6
1972-08-05	0	4.2	20.1	10.1
1972-08-06	0	2.5	20.6	9.1
1972-08-07	5.5	3.6	23.1	8.6
1972-08-08	25.5	7.1	23.6	10.6
1972-08-09	0.5	4.1	21.6	9.1
1972-08-10	0	3.8	22.1	12.6
1972-08-11	0.1	2.9	21.6	9.6
