COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13060 
 NOMBRE     : ACTOPAN 
 ESTADO     : HIDALGO 
 MUNICIPIO  : ACTOPAN 
 SITUACIÓN  : SUSPENDIDA 
 U. ADMNVA. : DIRECCIÓN LOCAL HIDALGO 
 CVE-OMM    :   
 LATITUD    : 20.26527778 ° 
 LONGITUD   : -98.95805556 ° 
 ALTITUD    : 2016 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1953-10-01	5	1.27	NULO	NULO
1953-10-02	NULO	0.88	NULO	NULO
1953-10-03	NULO	2.74	NULO	NULO
1953-10-04	NULO	4.55	NULO	NULO
1953-10-05	NULO	2.64	NULO	NULO
1953-10-06	NULO	1.3	NULO	NULO
1953-10-07	0	4.33	24.5	8
1953-10-08	0	5.11	22	8
1953-10-09	0	4.65	22.5	9
1953-10-10	0	6.41	22	4
1953-10-11	0	5.06	23	8
1953-10-12	0	4.54	24	3
1953-10-13	0	5.58	16.5	4
1953-10-14	0	4.66	24	6
1953-10-15	0	4.46	22	6
1953-10-16	0	5.41	21	8
1953-10-17	0	5.05	20	10.5
1953-10-18	0	3.51	22	11.5
1953-10-19	4.5	2.52	24.5	11.5
1953-10-20	0	5.63	24	12
1953-10-21	24	3.08	24.5	9.5
1953-10-22	0	2.76	22	9.5
1953-10-23	0	3.7	25	11
1953-10-24	7	5.04	25	13
1953-10-25	1.5	2.23	24	12
1953-10-26	16	6.36	24.5	9.5
1953-10-27	0	2.71	24	10
1953-10-28	0	2.59	21	14
1953-10-29	0	2.37	22	11
1953-10-30	0	4.92	24	12
1953-10-31	0	3.5	NULO	NULO
1953-11-01	20	2.5	15	12
1953-11-02	0	6	16.5	8
1953-11-03	1	2.81	22	8
1953-11-04	0	3.04	22.5	7.5
1953-11-05	3.5	4.58	22	9
1953-11-06	0	2.66	24	8
1953-11-07	4.5	3.02	22	9
1953-11-08	7.5	2.67	15	11
1953-11-09	0	1.6	11	4
1953-11-10	0	0.6	15	-2
1953-11-11	0	2.13	17	-4
1953-11-12	0	4.43	14	-3
1953-11-13	0	1.14	12	-2
1953-11-14	0	1.4	17	3.5
1953-11-15	0	3.46	21	6
1953-11-16	0	2.29	22	3
1953-11-17	0	3.43	24	4
1953-11-18	0	3.42	23	6
1953-11-19	0	1.76	21	6
1953-11-20	0	3.24	21	4
1953-11-21	0	3.94	26	6
1953-11-22	0	4.05	27	6
1953-11-23	0	5.85	22	6
1953-11-24	0	3.94	25	4
1953-11-25	0	3.41	22	3.5
1953-11-26	0	2.82	21	-1
1953-11-27	0	5.43	22	0
1953-11-28	0	3.66	22	-1
1953-11-29	0	4.64	22	-1.5
1953-11-30	0	2.06	NULO	NULO
1953-12-01	0	3.8	23	2
1953-12-02	0	3.89	23	2
1953-12-03	0	1.65	21	3
1953-12-04	0	2.7	19.5	8
1953-12-05	0	2.35	24	6
1953-12-06	0	3.05	20	7
1953-12-07	0	4.45	22	7
1953-12-08	0	1.02	25	5
1953-12-09	0	1.63	20	4
1953-12-10	1	2.65	20	5
1953-12-11	0	1.6	19	9
1953-12-12	0	3.35	24	5
1953-12-13	0	4	19	-1
1953-12-14	0	2.35	15	-5
1953-12-15	0	3.2	19	-3
1953-12-16	0	2.75	18	-1
1953-12-17	0	3.6	20	-2
1953-12-18	0	2.2	16	0
1953-12-19	0	0.25	20	2
1953-12-20	0	2.95	22	3
1953-12-21	0	4.35	24	-1
1953-12-22	0	4.2	24	-2
1953-12-23	0	2.65	23	-2
1953-12-24	0	3.15	26	-5
1953-12-25	0	3.75	23	2
1953-12-26	2	4.6	25	5
1953-12-27	0	1.45	25	6
1953-12-28	0	4.75	25	6
1953-12-29	0	3.2	22	6
1953-12-30	0	3	20	3
1953-12-31	0	3.4	11	7
1954-06-30	NULO	NULO	NULO	NULO
1954-07-31	NULO	NULO	NULO	NULO
1954-08-14	NULO	NULO	NULO	NULO
1954-08-15	NULO	NULO	NULO	NULO
1954-08-16	5.5	NULO	23	15
1954-08-17	2	NULO	23.5	14.5
1954-08-18	3.5	NULO	26	12
1954-08-19	1	NULO	27	11
1954-08-20	0	NULO	27.5	11.5
1954-08-21	0	NULO	29	13
1954-08-22	0	NULO	22	13
1954-08-23	0	NULO	34	14
1954-08-24	0	NULO	26	11
1954-08-25	0	NULO	28	11
1954-08-26	0	NULO	29	13
1954-08-27	0	NULO	29	13
1954-08-28	0	NULO	29	12
1954-08-29	3	NULO	28	14
1954-08-30	0	NULO	27	14
1954-08-31	0	NULO	26	11
1954-09-01	1	NULO	26	11
1954-09-02	0	NULO	26	10
1954-09-03	0	NULO	27	11
1954-09-04	0.01	NULO	27	10.5
1954-09-05	0	NULO	29	11
1954-09-06	2.5	NULO	27	13
1954-09-07	0.5	NULO	25	10.5
1954-09-08	0	NULO	24	11
1954-09-09	0.5	NULO	22	12
1954-09-10	14	NULO	24	10
1954-09-11	8	NULO	18	11
1954-09-12	47	NULO	25	13
1954-09-13	14	NULO	20	10.5
1954-09-14	5.5	NULO	22	11
1954-09-15	0	NULO	23	12
1954-09-16	0	NULO	26	9.5
1954-09-17	0	NULO	26	9
1954-09-18	0	NULO	26	10
1954-09-19	0	NULO	27	11
1954-09-20	3	NULO	31	13
1954-09-21	0	NULO	27	12
1954-09-22	1	NULO	27	13
1954-09-23	1	NULO	25	14
1954-09-24	0	NULO	26	13
1954-09-25	0	NULO	26	12
1954-09-26	2	NULO	26	14
1954-09-27	0	NULO	21	15
1954-09-28	1.5	NULO	25	14
1954-09-29	12.5	NULO	24	15
1954-09-30	0.5	NULO	NULO	NULO
1954-10-01	1	NULO	25	14
1954-10-02	7	NULO	25	12
1954-10-03	0	NULO	26	12
1954-10-04	0	NULO	21	10
1954-10-05	0	NULO	25	10
1954-10-06	1	NULO	21	12
1954-10-07	60.5	NULO	19	11
1954-10-08	49	NULO	20	14
1954-10-09	2.5	NULO	18	15
1954-10-10	0	NULO	24	10
1954-10-11	0	NULO	26	10
1954-10-12	0.01	NULO	27	12
1954-10-13	4	NULO	26	13
