COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13068 
 NOMBRE     : EL SALTO 
 ESTADO     : HIDALGO 
 MUNICIPIO  : TEPEJI DEL RÍO DE OCAMPO 
 SITUACIÓN  : OPERANDO 
 U. ADMNVA. : DIRECCIÓN LOCAL HIDALGO 
 CVE-OMM    :   
 LATITUD    : 19.93583333 ° 
 LONGITUD   : -99.28361111 ° 
 ALTITUD    : 2178 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1952-01-31	NULO	NULO	NULO	NULO
1952-03-31	NULO	NULO	NULO	NULO
1952-04-30	NULO	NULO	NULO	NULO
1952-05-31	NULO	NULO	NULO	NULO
1952-08-31	NULO	NULO	NULO	NULO
1953-02-01	0	NULO	28	4
1953-02-02	0	NULO	24	-3
1953-02-03	0	NULO	24	-3
1953-02-04	0	NULO	25	-3
1953-02-05	0	NULO	27	0
1953-02-06	0	NULO	28	0.5
1953-02-07	0	NULO	25.5	-0.5
1953-02-08	0	NULO	26	-1.5
1953-02-09	0	NULO	27.58	3
1953-02-10	0	NULO	28	2
1953-02-11	0.01	NULO	24.5	3
1953-02-12	0.01	NULO	25	7
1953-02-13	0.01	NULO	32.5	3
1953-02-14	0	NULO	26.5	11
1953-02-15	0	NULO	26	-2
1953-02-16	0.01	NULO	28	3
1953-02-17	0	NULO	19	4
1953-02-18	0	NULO	25.5	1
1953-02-19	0	NULO	28	6
1953-02-20	0.01	NULO	26	7
1953-02-21	0.01	NULO	25	6.5
1953-02-22	0	NULO	25	1
1953-02-23	0	NULO	28	-1.5
1953-02-24	0	NULO	28.5	2
1953-02-25	0	NULO	26.5	2
1953-02-26	0	NULO	25	2
1953-02-27	0	NULO	26.5	2.54
1953-02-28	0	NULO	28	3
1953-03-01	0	NULO	31	6
1953-03-02	0	NULO	30	4
1953-03-03	0	NULO	32	5
1953-03-04	0	NULO	27.5	4
1953-03-05	0	NULO	28	6
1953-03-06	0	NULO	28	2
1953-03-07	0	NULO	25	3
1953-03-08	0	NULO	22	9
1953-03-09	0	NULO	25	1
1953-03-10	0	NULO	26	1
1953-03-11	0	NULO	29	4
1953-03-12	0	NULO	29	8
1953-03-13	0.01	NULO	30	7
1953-03-14	0	NULO	29	5
1953-03-15	0	NULO	28	6
1953-03-16	0	NULO	29.5	5.5
1953-03-17	0	NULO	28.5	5
1953-03-18	1	NULO	29	6
1953-03-19	0	NULO	28	6
1953-03-20	0	NULO	28	3
1953-03-21	0	NULO	28	4
1953-03-22	0	NULO	26.5	1
1953-03-23	0	NULO	27	2
1953-03-24	0	NULO	23.5	8.5
1953-03-25	0	NULO	25	11.5
1953-03-26	0	NULO	25.5	11
1953-03-27	0	NULO	28	7
1953-03-28	0	NULO	25.5	3
1953-03-29	0	NULO	28	3
1953-03-30	0.01	NULO	28	5
1953-03-31	1	NULO	28	6
1953-04-01	1	NULO	27	6
1953-04-02	0	NULO	26.5	6
1953-04-03	0	NULO	30	7
1953-04-04	0	NULO	27	7
1953-04-05	0	NULO	27.5	6
1953-04-06	0	NULO	29	10
1953-04-07	0	NULO	28.5	12.5
1953-04-08	0	NULO	32	10
1953-04-09	0	NULO	32.5	5
1953-04-10	0	NULO	33	5
1953-04-11	0	NULO	32	7.5
1953-04-12	0	NULO	33	4
1953-04-13	0	NULO	29	5
1953-04-14	0	NULO	33	7
1953-04-15	0	NULO	32	5
1953-04-16	0	NULO	31	10
1953-04-17	0.01	NULO	31	5.5
1953-04-18	0	NULO	31.5	5.5
1953-04-19	3.5	NULO	30	9
1953-04-20	0	NULO	26	10
1953-04-21	0	NULO	26.5	4.5
1953-04-22	1.5	NULO	28.5	8.5
1953-04-23	1	NULO	27.5	8
1953-04-24	0	NULO	27.5	8
1953-04-25	0.01	NULO	26.5	11
1953-04-26	0	NULO	28	8
1953-04-27	0.01	NULO	20	6.58
1953-04-28	0	NULO	28.5	8
1953-04-29	0	NULO	32	8
1953-04-30	0	NULO	NULO	NULO
1953-05-01	0	NULO	32	6
1953-05-02	0	NULO	32	6
1953-05-03	0	NULO	31.5	7.5
1953-05-04	0.01	NULO	28.5	7.5
1953-05-05	0	NULO	23	4.5
1953-05-06	0	NULO	28.5	3
1953-05-07	0	NULO	29	5.5
1953-05-08	0	NULO	30	3
1953-05-09	0	NULO	31	7
1953-05-10	0.01	NULO	30.5	9
1953-05-11	0	NULO	31	8
1953-05-12	0	NULO	32.5	5.5
1953-05-13	0	NULO	32	7
1953-05-14	0	NULO	30	9
1953-05-15	0	NULO	31	9
1953-05-16	0	NULO	34	6
1953-05-17	0.2	NULO	34	7
1953-05-18	0.5	NULO	34	9.5
1953-05-19	3.54	NULO	29	12
1953-05-20	0	NULO	30	9.5
1953-05-21	0	NULO	30.5	9
1953-05-22	0	NULO	30.5	10.5
1953-05-23	0	NULO	30	4
1953-05-24	0.5	NULO	29	9.5
1953-05-25	0	NULO	28.5	7
1953-05-26	0	NULO	27.5	8
1953-05-27	0	NULO	29	8
1953-05-28	0	NULO	29	3
1953-05-29	0	NULO	29	3
1953-05-30	0	NULO	29	3.5
1953-05-31	0	NULO	29	5
1953-06-01	0	NULO	31.5	5
1953-06-02	0	NULO	26.5	9
1953-06-03	0	NULO	29.5	7
1953-06-04	0	NULO	30.5	9
1953-06-05	0	NULO	31	9.5
1953-06-06	0	NULO	31	8.5
1953-06-07	0.01	NULO	30	12
1953-06-08	0.2	NULO	29.5	12.5
1953-06-09	16	NULO	26	12.5
1953-06-10	0	NULO	24	10
1953-06-11	0	NULO	24.5	6
1953-06-12	0	NULO	27.5	11
1953-06-13	0	NULO	29	9.5
1953-06-14	0	NULO	31	10
1953-06-15	0	NULO	31	12.5
1953-06-16	0	NULO	29.5	12.5
1953-06-17	0.5	NULO	28	9
1953-06-18	0	NULO	29	11
1953-06-19	2.2	NULO	28	10.5
1953-06-20	0	NULO	27	11
1953-06-21	0	NULO	26.5	10.5
1953-06-22	0	NULO	27	12
1953-06-23	0	NULO	26.5	12.5
1953-06-24	9	NULO	27	11.81
1953-06-25	3	NULO	23	13
1953-06-26	3	NULO	28	12
1953-06-27	21	NULO	28	12
1953-06-28	18	NULO	26.5	11.5
1953-06-29	0	NULO	26	12
1953-06-30	0	NULO	NULO	NULO
1953-07-01	6.7	NULO	25	12.5
1953-07-02	15.5	NULO	25	9
1953-07-03	1	NULO	23	14
1953-07-04	9	NULO	24	12
1953-07-05	13.5	NULO	23	10
1953-07-06	12.5	NULO	24	10
1953-07-07	0	NULO	24	12
1953-07-08	3	NULO	24	8
1953-07-09	1.5	NULO	24	11.5
1953-07-10	1.5	NULO	22	13.5
1953-07-11	0	NULO	25	10
1953-07-12	1.5	NULO	25.5	10
1953-07-13	4.5	NULO	25.5	9
1953-07-14	5.5	NULO	27	11.5
1953-07-15	0.01	NULO	24	9.5
1953-07-16	1.5	NULO	25	11
1953-07-17	0.01	NULO	25.5	10
1953-07-18	0	NULO	25	10.5
1953-07-19	2	NULO	24	8
1953-07-20	0.5	NULO	27	9
1953-07-21	7.5	NULO	27.5	8.5
1953-07-22	7.5	NULO	26	8
1953-07-23	8	NULO	25.5	8
1953-07-24	0	NULO	23.5	10
1953-07-25	0.5	NULO	25	13
1953-07-26	0.5	NULO	25	8
1953-07-27	0	NULO	25	8
1953-07-28	0	NULO	24.5	13
1953-07-29	1	NULO	25.5	10
1953-07-30	1	NULO	26	9
1953-07-31	0	NULO	NULO	NULO
1953-08-01	14.5	NULO	24	12
1953-08-02	10	NULO	23	12
1953-08-03	0	NULO	22.5	8
1953-08-04	0	NULO	23.5	7
1953-08-05	2.5	NULO	23	10.5
1953-08-06	12	NULO	26	13
1953-08-07	0	NULO	25.5	10.5
1953-08-08	0	NULO	26	10
1953-08-09	0	NULO	26.5	10
1953-08-10	0	NULO	26.5	9
1953-08-11	0	NULO	26	8
1953-08-12	0	NULO	26	7
1953-08-13	16	NULO	26	6.5
1953-08-14	13	NULO	23.5	10
1953-08-15	10	NULO	25	9
1953-08-16	3.7	NULO	25.5	9.5
1953-08-17	35	NULO	25	9
1953-08-18	0	NULO	24.5	9
1953-08-19	1	NULO	25	11.5
1953-08-20	1.5	NULO	25	11
1953-08-21	6	NULO	27	13.5
1953-08-22	0.01	NULO	25	13
1953-08-23	0.01	5.12	25	13
1953-08-24	0.01	4.64	24	14
1953-08-25	0	3.44	26.5	13.5
1953-08-26	21.5	6.89	26	14
1953-08-27	1	3.01	24	10.5
1953-08-28	21	5.98	26.5	9
1953-08-29	1.5	4.19	24	11.5
1953-08-30	14.5	8.38	27	12
1953-08-31	0	1.56	NULO	NULO
1953-09-01	2.3	4.81	23.5	13
1953-09-02	1.5	4.14	27	13
1953-09-03	3	4.53	26	10.5
1953-09-04	0	5.28	26.5	12
1953-09-05	0	5.02	23	11
1953-09-06	0	5.77	23	11
1953-09-07	0	4.51	19.5	11
1953-09-08	1	3	28	6.5
1953-09-09	1	1.1	13	9.5
1953-09-10	8	0.76	14.5	9
1953-09-11	1	0.91	16.5	10
1953-09-12	0.5	2.32	28.5	10.5
1953-09-13	0.01	3.04	21	11
1953-09-14	10.5	0.91	28	11.5
1953-09-15	29	1.61	24.5	12.5
1953-09-16	5.5	4.57	25	12
1953-09-17	1.5	4.12	25	13
1953-09-18	0.01	5.7	26	9.5
1953-09-19	0.5	3.1	24.5	13
1953-09-20	0	5.62	23	12
1953-09-21	0	4.29	27.5	3
1953-09-22	0.01	6.54	20.5	4
1953-09-23	0	2.17	19.5	5.5
1953-09-24	0	5.8	22	1.5
1953-09-25	0.5	2.38	21	5
1953-09-26	0	3.41	22	11.5
1953-09-27	0	0.34	22.5	5
1953-09-28	0	4.19	22.5	1
1953-09-29	0	4.28	24	5
1953-09-30	0	6.58	NULO	NULO
1953-10-01	0.01	4.45	17	10
1953-10-02	2.5	1.43	21	10
1953-10-03	0.2	1.05	21	10.5
1953-10-04	2.5	1.26	21.5	13
1953-10-05	0.01	2.23	19.5	12
1953-10-06	0	3.23	17	11
1953-10-07	0	4.94	23.5	10
1953-10-08	0	3.91	23.5	3.5
1953-10-09	0	5.19	23	3.5
1953-10-10	0	4.41	23	1.5
1953-10-11	0	7.54	24.5	0.5
1953-10-12	0	3.44	25	0
1953-10-13	0	6.49	25.5	0
1953-10-14	0	6.02	24.5	1
1953-10-15	0.01	4.4	28	4
1953-10-16	0	4.65	22.5	9.5
1953-10-17	0	3.45	20	10
1953-10-18	0.01	2.22	22.5	8
1953-10-19	0.01	3.68	26	7.5
1953-10-20	0.01	3.49	25.5	12.5
1953-10-21	19.5	2.73	25.5	1
1953-10-22	0	4.56	23	8
1953-10-23	0	3.83	25	10
1953-10-24	7.5	3.19	26	10.5
1953-10-25	4.5	1.35	24.5	10
1953-10-26	6.5	4.6	25.5	9
1953-10-27	0	7.34	25.5	12
1953-10-28	2	3	26.5	12.5
1953-10-29	0	2.4	23.5	9
1953-10-30	0.5	3.45	26.5	11.5
1953-10-31	0	3.9	NULO	NULO
1953-11-01	16.5	0.85	27	12
1953-11-02	0	0.7	17	6.5
1953-11-03	0.5	2.54	28.5	8.5
1953-11-04	0	3.53	23.5	6
1953-11-05	1.5	3.55	23.5	10
1953-11-06	0	3.83	25	8.5
1953-11-07	2	4.44	23.5	8
1953-11-08	4.5	1.48	15	10
1953-11-09	0	0.46	12	3.5
1953-11-10	0	4.45	11	-4.5
1953-11-11	0	2.16	18	-7
1953-11-12	0	4.78	17.5	-6.5
1953-11-13	0	0.98	12	-1.5
1953-11-14	0	2.48	18.5	3
1953-11-15	0	3.34	22.5	5
1953-11-16	0	2.74	22	1.5
1953-11-17	0	3.04	24	2
1953-11-18	0	4.66	25	3.5
1953-11-19	0	1.54	21.5	5
1953-11-20	0	7.29	26	1
1953-11-21	0	4.37	26	4
1953-11-22	0	6.81	27.5	4.5
1953-11-23	0	6.13	28	3.5
1953-11-24	0	2.26	26	3
1953-11-25	0	5.85	23.5	0.5
1953-11-26	0	4.43	21.5	-2.5
1953-11-27	0	9.57	22.5	-2
1953-11-28	0	6.49	23	-3
1953-11-29	0	3.98	21	-3
1953-11-30	0	1.79	NULO	NULO
1953-12-01	0	3.45	23	-0.5
1953-12-02	0	4.62	22.5	1.5
1953-12-03	0	3.38	20	7
1953-12-04	0	2.11	19.5	-1
1953-12-05	0	3.1	25	-1
1953-12-06	0	9.5	23	5
1953-12-07	0	1.58	23	4.5
1953-12-08	0	1.5	26	3.5
1953-12-09	0	1.15	21.5	3
1953-12-10	1.5	3.6	22	6
1953-12-11	0	2.88	21	8
1953-12-12	0	2.34	24	5.5
1953-12-13	0	3.8	20	-2
1953-12-14	0	1.23	15	-8
1953-12-15	0	1.41	20.5	-6
1953-12-16	0	4.27	19.5	-3
1953-12-17	0	3.09	21.5	-8
1953-12-18	0	2.05	17.5	-1.5
1953-12-19	0	1.52	20	-1
1953-12-20	0	3.8	22.5	-1.5
1953-12-21	0	7.42	24.5	-2
1953-12-22	0	4.38	24.5	-3.5
1953-12-23	0	6.59	23.5	5
