COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13086 
 NOMBRE     : SANTIAGO TEZONTLALE (CFE) 
 ESTADO     : HIDALGO 
 MUNICIPIO  : AJACUBA 
 SITUACIÓN  : SUSPENDIDA 
 U. ADMNVA. : ORGANISMO DE CUENCA AGUAS DEL VALLE DE MÉXICO 
 CVE-OMM    :   
 LATITUD    : 20.16138889 ° 
 LONGITUD   : -99.09833333 ° 
 ALTITUD    : 2080 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1973-08-25	3.5	NULO	NULO	NULO
1973-08-26	0.1	4.5	20.5	13
1973-08-27	0.1	0.8	20	13
1973-08-28	1	6.9	22.5	13
1973-08-29	0	8.5	22.5	12.5
1973-08-30	0	6.6	23	12.5
1973-08-31	0	6.5	23	12.5
1973-09-01	0	5.8	23.5	12.5
1973-09-02	0	5.5	24	7
1973-09-03	0.8	3.7	20	13
1973-09-04	0	3.7	22	13.5
1973-09-05	0	5.5	23	10
1973-09-06	0	5.8	27	6
1973-09-07	1.7	3.7	25	14
1973-09-08	38.7	4.4	25.5	11
1973-09-09	1	4.3	23	11
1973-09-10	10.3	2.7	23.5	11.5
1973-09-11	1.9	2.8	23	12.5
1973-09-12	3.2	4.5	25.5	8.5
1973-09-13	0	4.2	25	8
1973-09-14	0	5.4	24	9
1973-09-15	0	4.8	23	9.5
1973-09-16	0	4.7	22	11.5
1973-09-17	0	3.6	23	12
1973-09-18	0	4	20.5	10
1973-09-19	0	5.1	22	6
1973-09-20	0	5.6	23	10.5
1973-09-21	0	6	24.5	6.5
1973-09-22	0	6	23.5	6.5
1973-09-23	0	4.2	24.5	11.5
1973-09-24	0.3	4	26	9
1973-09-25	8.4	3.3	26	12
1973-09-26	8	4.3	33.5	10.5
1973-09-27	0	2.7	19	12.5
1973-09-28	0	2.9	19	11
1973-09-29	0	4.4	22.5	10
1973-09-30	0.3	3.2	22	10
1973-10-01	0	5.3	21	9
1973-10-02	0	5.6	24	9
1973-10-03	0	6.9	23	5
1973-10-04	0	5.4	23	5.5
1973-10-05	0	6	22	8.5
1973-10-06	0	3.2	20.5	8
1973-10-07	0	3.8	20	5
1973-10-08	0	5.5	23	8.5
1973-10-09	0	5.9	25	11.5
1973-10-10	7.1	1.8	25	11
1973-10-11	0.6	2.8	23.5	12
1973-10-12	27	4	25	12.5
1973-10-13	0.7	2	22	12
1973-10-14	1.1	1.7	17.5	13
1973-10-15	1.2	2.9	19.5	11
1973-10-16	0	4.2	20	11
1973-10-17	0	4.4	17	11
1973-10-18	0	3.7	17	8.5
1973-10-19	0.5	1.9	15.5	8.5
1973-10-20	2.6	1.2	16	9
1973-10-21	0	3.6	17.5	9.5
1973-10-22	0	3.4	17.5	10
1973-10-23	0	4.9	19.5	8
1973-10-24	0	4.8	23	5
1973-10-25	0	4.1	23.5	6
1973-10-26	0	3.4	22.5	6.5
1973-10-27	3.9	2.8	22.5	4
1973-10-28	0	4.2	19.5	11.5
1973-10-29	0	4.3	22	6
1973-10-30	3.6	4.3	25	7
1973-10-31	5.6	3.4	23	6
1973-11-01	3.9	3.8	25	6
1973-11-02	0	4.5	24	8.5
1973-11-03	0	4.3	25	7.5
1973-11-04	0	3.7	24	8
1973-11-05	0	4.7	24	7
1973-11-06	0	5	22.5	5
1973-11-07	0	4.9	24	8
1973-11-08	0	5.6	24.5	3
1973-11-09	0	5.8	22.5	1
1973-11-10	0.5	2.9	18	2.5
1973-11-11	0.3	2.3	18	4
1973-11-12	0	2.9	17	9.5
1973-11-13	0	2.8	19	7
1973-11-14	0	4.2	22	3
1973-11-15	0	5.4	22	1
1973-11-16	0	4.3	21.5	1
1973-11-17	0	5.4	24	1
1973-11-18	0	4.1	23.5	5
1973-11-19	0	5.6	25	4.5
1973-11-20	0	5	26	1
1973-11-21	0	5.1	27	2.5
1973-11-22	0	5.7	26	4.5
1973-11-23	0	4.7	26	3
1973-11-24	0	4.4	25	6
1973-11-25	0.9	4.1	25	6
1973-11-26	0	3.4	23	5
1973-11-27	32.1	5.1	23	6
1973-11-28	0	2.2	12	9
1973-11-29	0	3.9	13	1.5
1973-11-30	0	2.3	15	-1
1973-12-01	0	2.8	16	2
1973-12-02	0	3.3	21.5	6
1973-12-03	0	4.9	24.5	4
1973-12-04	0	5	24.5	3
1973-12-05	0	3.7	21.5	3.5
1973-12-06	0.4	2.8	19.5	4.5
1973-12-07	0	0.7	9.5	8
1973-12-08	0	4	19.5	6.5
1973-12-09	0.4	4	19	-1
1973-12-10	0.8	0.7	10.5	4
1973-12-11	0	3.2	19	5
1973-12-12	0	3.5	19	0
1973-12-13	0	4.3	20.5	1
1973-12-14	0	4.9	23.5	0
1973-12-15	0	3.9	23	3
1973-12-16	0	4.8	16	3
1973-12-17	0	3.7	20	-4
1973-12-18	0	4.9	22	0
1973-12-19	0	5.1	20	6
1973-12-20	0	2.6	11	2.5
1973-12-21	0	3.7	17.5	2
1973-12-22	0	4.2	21	-2
1973-12-23	0	5.5	22	1.5
1973-12-24	0	5.5	24	1
1973-12-25	0	3.2	12.5	2
1973-12-26	0	4	21	4.5
1973-12-27	1.5	4.3	20.5	1.5
1973-12-28	1.9	3.1	22.5	2
1973-12-29	0	3.9	21	3
1973-12-30	0	5.4	22.5	4
1973-12-31	0	5.3	22	4
1974-01-01	0	3.2	22	5
1974-01-02	0	4.8	24	2
1974-01-03	0	4.5	22	3
1974-01-04	0	4.5	22.5	2
1974-01-05	0	4.8	22	4
1974-01-06	0	4.8	23.5	6
1974-01-07	0	5.2	25.5	3.5
1974-01-08	0	4.2	23.5	3.5
1974-01-09	0	4.9	25.5	4.5
1974-01-10	0	4.7	24	4
1974-01-11	0	5.4	22	4
1974-01-12	0	2.7	17	5
1974-01-13	0	4	20	8.5
1974-01-14	0	3.8	20.5	3.5
1974-01-15	0	4	19	4
1974-01-16	0	4.4	22	6
1974-01-17	0	5.1	22	1
1974-01-18	0	4.7	23	1.5
1974-01-19	0	5.1	24	4
1974-01-20	0	5.2	24	4
1974-01-21	0	5	23	3
1974-01-22	0	5.2	24	2
1974-01-23	0	5	24.5	4
1974-01-24	0	3.2	22	6
1974-01-25	0	4.6	22.5	2
1974-01-26	0	4.6	23	6
1974-01-27	0	4.8	24	5
1974-01-28	0	5.3	25.5	5
1974-01-29	0	6.1	25	3
1974-01-30	0	6.1	24	3
1974-01-31	0	6.1	24	4
1974-02-01	0	5.4	24.5	3
1974-02-02	0	6.9	25.5	5
1974-02-03	0	4.1	24.5	4.5
1974-02-04	0.4	3.8	16.5	6.5
1974-02-05	0	4.3	22	7
1974-02-06	0	6.1	25	3
1974-02-07	0	6.4	25.5	5
1974-02-08	0	5.1	21.5	3.5
1974-02-09	0	2.5	19	2.5
1974-02-10	0	5.2	21	-3
1974-02-11	0	6.7	21	1.5
1974-02-12	0	6.7	23	1
1974-02-13	0	5.7	25	1.5
1974-02-14	0	6.2	25	2.5
1974-02-15	0	5.7	25	5.5
1974-02-16	0	5.5	26	5.5
1974-02-17	0	5.7	25	4.5
1974-02-18	0	9	27.5	5.5
1974-02-19	0	6.8	25	4
1974-02-20	0	9.2	27.5	2.5
1974-02-21	0	7.5	26.5	3
1974-02-22	0	5.2	17	5
1974-02-23	0	6.7	25.5	1.5
1974-02-24	0	4.8	15	8
1974-02-25	0	5.3	14	5
1974-02-26	0	4.6	18	-2
1974-02-27	0	6	22.5	-3
1974-02-28	0	8.7	22	2
1974-03-01	0	7.5	22.5	-1.5
1974-03-02	0	8.1	24.5	-1.5
1974-03-03	0	8.1	27	0
1974-03-04	0	8.9	28	2
