COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13099 
 NOMBRE     : METEPEC 
 ESTADO     : HIDALGO 
 MUNICIPIO  : METEPEC 
 SITUACIÓN  : OPERANDO 
 U. ADMNVA. : DIRECCIÓN LOCAL HIDALGO 
 CVE-OMM    :   
 LATITUD    : 20.23666667 ° 
 LONGITUD   : -98.32416667 ° 
 ALTITUD    : 2147 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1974-08-16	0	NULO	NULO	NULO
1974-08-17	1	2	21	15
1974-08-18	1.3	5.3	20	15
1974-08-19	0	5	18	15
1974-08-20	0	5	20	7
1974-08-21	0	6	22	12
1974-08-22	0	4	21	5
1974-08-23	0.4	2.4	18	5
1974-08-24	0	2	19	15
1974-08-25	0	4	18	12
1974-08-26	0	5	20	13
1974-08-27	0.7	1.7	19	17
1974-08-28	4.6	9.6	19	11
1974-08-29	20	11	23	15
1974-08-30	0.4	4.4	18	10
1974-08-31	0	7	20	12
1974-09-01	0	4.7	17	12
1974-09-02	0	5.5	21	10
1974-09-03	16	6.1	15	10
1974-09-04	1.4	2.4	16	12
1974-09-05	0	2.5	19	10
1974-09-06	0	4.2	24	10
1974-09-07	0	7	21	8
1974-09-08	0	1.5	21	6
1974-09-09	2	5.7	20	2
1974-09-10	2	2.1	19	9
1974-09-11	7	1.6	23	10
1974-09-12	0	1.6	23	14
1974-09-13	0	3.5	23	13
1974-09-14	2.5	3.7	22	10
1974-09-15	0	2.5	20	13
1974-09-16	0	4.2	20	13
1974-09-17	1.9	3.9	22	10
1974-09-18	2.9	2.5	21	12
1974-09-19	4.5	3.8	20	15
1974-09-20	109	3.4	18	12
1974-09-21	95.5	3.7	16	8
1974-09-22	26.5	5.9	20	13
1974-09-23	7	3.2	21	15
1974-09-24	0	6.5	20	15
1974-09-25	1	2.6	21	14
1974-09-26	6	2.9	22	14
1974-09-27	0	2.3	25	15
1974-09-28	4.4	4.9	24	13
1974-09-29	10	1.5	21	13
1974-09-30	6.7	1.4	20	12
1974-10-01	0	1.8	16	8
1974-10-02	2	1.1	17	8
1974-10-03	5	1.2	18	7
1974-10-04	1	1.2	15	7
1974-10-05	0.5	2	16	5
1974-10-06	0	1.4	17	5
1974-10-07	0	4.3	17	5
1974-10-08	0	1.7	17	7
1974-10-09	1	3.6	18	2
1974-10-10	0	3	17	5
1974-10-11	0	2.7	17	6
1974-10-12	0.5	3.3	19	7
1974-10-13	0	2.7	19	8
1974-10-14	0	5.8	24	8
1974-10-15	2	0.9	24	6
1974-10-16	0	1.6	16	6
1974-10-17	0	4	18	9
1974-10-18	0	1.6	18	9
1974-10-19	0	4.6	17	8
1974-10-20	0	2.7	17	3
1974-10-21	0	1.9	16	7
1974-10-22	0	1.2	16	9
1974-10-23	3.5	1	20	7
1974-10-24	1.5	1.3	17	9
1974-10-25	2	3.3	19	7
1974-10-26	4	1.6	20	7
1974-10-27	0	3.5	21	7
1974-10-28	0	3.8	28	7
1974-10-29	0	3.7	24	8
1974-10-30	0	4.4	22	7
1974-10-31	0	3.9	22	5
1974-11-01	0	3.2	20	6
1974-11-02	0	5.6	21	7
1974-11-03	0	2.4	26	9
1974-11-04	0	3.4	25	3
1974-11-05	0	3.2	19	4
1974-11-06	0.5	3.3	19	10
1974-11-07	0	2	17	8
1974-11-08	0	3.1	19	9
1974-11-09	0	4.5	22	7
1974-11-10	0	3.8	23	5
1974-11-11	10	2.6	15	7
1974-11-12	0	1.1	12	3
1974-11-13	0	0.8	17	3
1974-11-14	0	2.2	20	4
1974-11-15	0	3.7	17	4
