COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13130 
 NOMBRE     : SANTA MARIA ASUNCION 
 ESTADO     : HIDALGO 
 MUNICIPIO  : TULANCINGO DE BRAVO 
 SITUACIÓN  : OPERANDO 
 U. ADMNVA. : ORGANISMO DE CUENCA AGUAS DEL VALLE DE MÉXICO 
 CVE-OMM    :   
 LATITUD    : 20.15472222 ° 
 LONGITUD   : -98.27388889 ° 
 ALTITUD    : 2190 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1979-10-01	0	NULO	NULO	NULO
1979-10-02	0	NULO	NULO	NULO
1979-10-03	0	NULO	NULO	NULO
1979-10-04	0	NULO	NULO	NULO
1979-10-05	0	NULO	NULO	NULO
1979-10-06	0	NULO	NULO	NULO
1979-10-07	0	NULO	NULO	NULO
1979-10-08	0	NULO	NULO	NULO
1979-10-09	0	NULO	NULO	NULO
1979-10-10	0	NULO	18.5	5.5
1979-10-11	0.01	NULO	22	3.5
1979-10-12	0	NULO	24.5	3.5
1979-10-13	0	NULO	24.5	7
1979-10-14	0.01	NULO	20	5.5
1979-10-15	0.01	NULO	22.5	6
1979-10-16	0	NULO	23.5	5.5
1979-10-17	0	NULO	21.5	4
1979-10-18	0.01	NULO	21.5	3.5
1979-10-19	0	NULO	25	5.5
1979-10-20	0	NULO	25.5	7.5
1979-10-21	0	NULO	26.5	8.5
1979-10-22	0	NULO	25.5	8
1979-10-23	16.9	NULO	15.5	11
1979-10-24	0.01	NULO	20	9
1979-10-25	0	NULO	18	6
1979-10-26	0	NULO	20	5.5
1979-10-27	0.01	NULO	22	9
1979-10-28	0	NULO	24	9
1979-10-29	0	NULO	24.5	10.5
1979-10-30	15.2	NULO	23	11
1979-10-31	0	NULO	18.5	7.5
1979-11-01	0	NULO	19.5	6.5
1979-11-02	0.3	NULO	19.5	5.5
