COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 11/09/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTEMBER DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN   : 13159 
 NOMBRE     : UNIDAD DE RIEGO LOS ANGELES 
 ESTADO     : HIDALGO 
 MUNICIPIO  : ATOTONILCO EL GRANDE 
 SITUACIÓN  : OPERANDO 
 U. ADMNVA. : DIRECCIÓN LOCAL HIDALGO 
 CVE-OMM    :   
 LATITUD    : 20.27222222 ° 
 LONGITUD   : -98.66361111 ° 
 ALTITUD    : 2129 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
2009-03-01	0	NULO	NULO	NULO
2009-03-02	0	NULO	27.5	13
2009-03-03	0	NULO	28	13
2009-03-04	0	NULO	28	14
2009-03-05	0	NULO	29	12
2009-03-06	0	NULO	28	10
2009-03-07	0	NULO	29	8.5
2009-03-08	0	NULO	29.5	10
2009-03-09	0	NULO	28	11
2009-03-10	0	NULO	26	10.5
2009-03-11	0	NULO	28	10
2009-03-12	0	NULO	29.5	11
2009-03-13	0	NULO	29	12
2009-03-14	0	NULO	30	10
2009-03-15	0	NULO	30.5	11
2009-03-16	0	NULO	29	15
2009-03-17	0	NULO	30	9
2009-03-18	0	NULO	30	17
2009-03-19	0	NULO	29	14
2009-03-20	0	NULO	29.5	18
2009-03-21	0	NULO	30.5	11
2009-03-22	0	NULO	29.5	10
2009-03-23	0	NULO	30	9
2009-03-24	0	NULO	28	11
2009-03-25	0	NULO	29.5	10
2009-03-26	0	NULO	30	11
2009-03-27	0	NULO	30	10
2009-03-28	0	NULO	27	11
2009-03-29	0	NULO	28	5
2009-03-30	0	NULO	27.5	9
2009-03-31	0	NULO	NULO	NULO
2009-04-01	0	NULO	NULO	NULO
2009-04-02	0	NULO	30	8.5
2009-04-03	0	NULO	33	8.5
2009-04-04	0	NULO	32	8
2009-04-05	0	NULO	32	12
2009-04-06	0	NULO	24	10
2009-04-07	0	NULO	28	6.5
2009-04-08	0	NULO	27.5	5
2009-04-09	0	NULO	30	8
2009-04-10	0	NULO	31.5	8
2009-04-11	0	NULO	30	11
2009-04-12	0	NULO	30.5	13
2009-04-13	0	NULO	32.5	11
2009-04-14	0	NULO	28	11.5
2009-04-15	8.5	NULO	29	10.5
2009-04-16	0	NULO	28.5	9
2009-04-17	0	NULO	28	11
2009-04-18	0	NULO	28.5	10
2009-04-19	4.5	NULO	30	9.5
2009-04-20	0	NULO	30.5	9
2009-04-21	0	NULO	30	8.5
2009-04-22	0	NULO	25	6
2009-04-23	0	NULO	25.5	6
2009-04-24	0	NULO	26	9
2009-04-25	0	NULO	30	8
2009-04-26	0	NULO	29	8.5
2009-04-27	0	NULO	30	8
2009-04-28	0	NULO	28	8
2009-04-29	0	NULO	27	8
2009-04-30	0	NULO	27	7
2009-05-01	0	NULO	28.5	8
2009-05-02	0	NULO	30	9
2009-05-03	0	NULO	31.5	13
2009-05-04	2	NULO	30.5	13
2009-05-05	0	NULO	30	10.5
2009-05-06	NULO	0.7	32	10
2009-05-07	0	NULO	31.5	10
2009-05-08	0	NULO	30	9
2009-05-09	0	NULO	31	10
2009-05-10	0	NULO	30	11.5
2009-05-11	0	NULO	28	10.5
2009-05-12	0	NULO	27	10
2009-05-13	0	NULO	28	12
2009-05-14	0	NULO	28	13.5
2009-05-15	0	0.65	27	11.5
2009-05-16	0	NULO	23	12
2009-05-17	0	NULO	22	13
2009-05-18	6	NULO	20	11
2009-05-19	0	NULO	21	9
2009-05-20	2.5	NULO	20	8.5
2009-05-21	0	NULO	21	8
2009-05-22	0	NULO	27	9
2009-05-23	0	NULO	29	9.5
2009-05-24	3	NULO	29	10
2009-05-25	0	NULO	30	11
2009-05-26	0	NULO	32.5	11
2009-05-27	0	NULO	30	14
2009-05-28	35.5	NULO	27	12.5
2009-05-29	0	NULO	23.5	11.5
2009-05-30	6.5	NULO	23.5	12
2009-05-31	0	NULO	23	9.5
2009-06-01	67.4	NULO	NULO	NULO
2009-06-02	22.3	NULO	24	11
2009-06-03	0	NULO	24	9
2009-06-04	0	NULO	25	10
2009-06-05	0	NULO	26	9.5
2009-06-06	0	NULO	27	9
2009-06-07	0	NULO	29.5	9
2009-06-08	0	NULO	29.5	9
2009-06-09	0	NULO	35.5	10
2009-06-10	0	NULO	28	11
2009-06-11	0	NULO	30	11.5
2009-06-12	0	NULO	28.5	11
2009-06-13	0	NULO	28.5	10.5
2009-06-14	0	NULO	28.5	10
2009-06-15	0	NULO	27.5	10
2009-06-16	0	NULO	28	10
2009-06-17	8	NULO	27	11
2009-06-18	0	NULO	25.5	11
2009-06-19	2.1	NULO	24	12
2009-06-20	2.5	NULO	23	11
2009-06-21	1	NULO	22.5	14
2009-06-22	5.8	NULO	23	11
2009-06-23	7.3	NULO	22	11
2009-06-24	0.5	NULO	24	4
2009-06-25	0	NULO	25	11
2009-06-26	23.5	NULO	25	11
2009-06-27	0	NULO	25	11
2009-06-28	55.5	NULO	23.5	10.5
2009-06-29	6.5	NULO	31.5	11
2009-06-30	0	NULO	31	11.5
2009-07-01	0	NULO	NULO	NULO
2009-07-02	2	NULO	24	11
2009-07-03	4.1	NULO	25.5	12
2009-07-04	3.2	NULO	21	12.5
2009-07-05	0	NULO	25	10.5
2009-07-06	0	NULO	26.5	10
2009-07-07	0	NULO	27	10
2009-07-08	0	NULO	26.5	10
2009-07-09	0	NULO	25.5	10
2009-07-10	18	NULO	31	12
2009-07-11	2.5	NULO	21	12
2009-07-12	0	NULO	20	10
2009-07-13	0	NULO	22.5	8.5
2009-07-14	0	NULO	25.5	12
2009-07-15	0	NULO	25	10
2009-07-16	0	NULO	25.5	9
2009-07-17	0	NULO	25.5	10
2009-07-18	0	NULO	25.5	9
2009-07-19	0	NULO	25.5	8.5
2009-07-20	0	NULO	28	9
2009-07-21	0	NULO	26.5	9
2009-07-22	0	NULO	26.5	11
2009-07-23	20	NULO	27	9
2009-07-24	6.8	NULO	28	8.5
2009-07-25	0	NULO	24	9
2009-07-26	6.5	NULO	24	11
2009-07-27	0	NULO	26	9.5
2009-07-28	9	NULO	25.5	10
2009-07-29	0	NULO	27	10.5
2009-07-30	0	NULO	27	10
2009-07-31	0	NULO	27	11
2009-08-01	0	NULO	24	8.5
2009-08-02	0	NULO	25	9.2
2009-08-03	0	NULO	25	11
2009-08-04	0	NULO	25	8.5
2009-08-05	0	NULO	25.5	9
2009-08-06	0	NULO	26	8.5
2009-08-07	0	NULO	26	8
2009-08-08	0	NULO	28	9
2009-08-09	17.7	NULO	27	11
2009-08-10	0	NULO	25	11
2009-08-11	0	NULO	25	8
2009-08-12	0	NULO	25	13
2009-08-13	0	NULO	26	8
2009-08-14	1.7	NULO	26.5	9.5
2009-08-15	0	NULO	27	9
2009-08-16	4.7	NULO	27	8.5
2009-08-17	0	NULO	25	11
2009-08-18	2.8	NULO	28	11.5
2009-08-19	0	NULO	26	13
2009-08-20	2.8	NULO	27	11
2009-08-21	1.5	NULO	26	12
2009-08-22	0	NULO	25	10
2009-08-23	0	NULO	25	8.5
2009-08-24	0	NULO	25	8
2009-08-25	0	NULO	25	7.5
2009-08-26	4.5	NULO	25	8
2009-08-27	0	NULO	25	9
2009-08-28	0	NULO	24	9.5
2009-08-29	1.5	NULO	23	9
2009-08-30	30	NULO	24	11.5
2009-08-31	NULO	NULO	24	12.5
2009-09-01	1	NULO	21.5	9
2009-09-02	0	NULO	23	9
2009-09-03	0	NULO	25.5	11
2009-09-04	6.2	NULO	20	12.5
2009-09-05	2.7	NULO	20	11
2009-09-06	3.7	NULO	21	12
2009-09-07	3.5	NULO	22.5	12
2009-09-08	3.2	0.4	22.5	12
2009-09-09	7	NULO	23	14
2009-09-10	39	NULO	24	13
2009-09-11	12.5	NULO	22	12
2009-09-12	8.2	NULO	25	12
2009-09-13	0	NULO	24	10.5
2009-09-14	53.5	NULO	24	11
2009-09-15	13	NULO	23	12
2009-09-16	0	NULO	24	13
2009-09-17	23	NULO	24.5	7.5
2009-09-18	0	NULO	22	10
2009-09-19	0	NULO	21.5	10.5
2009-09-20	0	NULO	22	10
2009-09-21	0	NULO	25	9.5
2009-09-22	7	NULO	23	10
2009-09-23	18.5	NULO	20	10
2009-09-24	10	NULO	19.5	12
2009-09-25	37.5	NULO	18	12
2009-09-26	31	NULO	18	12
2009-09-27	3	NULO	20	12
2009-09-28	20	NULO	23.5	12
2009-09-29	2.5	NULO	23	11.5
2009-09-30	0	NULO	23	12
2009-10-01	0	1.33	26	11
2009-10-02	0	4.93	27.5	10.5
2009-10-03	0	5.97	26.5	10
2009-10-04	0	2.04	28	10
2009-10-05	0	1.56	28	10
2009-10-06	0	2.9	27.5	10
2009-10-07	0	3.6	25	10
2009-10-08	8	2.1	25.5	12
2009-10-09	2	NULO	26	12
2009-10-10	0	NULO	24	10
2009-10-11	4.5	NULO	25	11
2009-10-12	20.5	NULO	24	11
2009-10-13	0	NULO	24	11
2009-10-14	0	NULO	25	10
2009-10-15	0	NULO	28	8
2009-10-16	2.7	NULO	24	7
2009-10-17	10.5	NULO	15	8
2009-10-18	2.5	NULO	20	8.5
2009-10-19	0	NULO	15	8
2009-10-20	0	NULO	21	9
2009-10-21	0	NULO	20	9
2009-10-22	38	NULO	25	9
2009-10-23	14	NULO	24	10.5
2009-10-24	20	NULO	20.5	11.5
2009-10-25	9.5	NULO	20	10
2009-10-26	5.5	NULO	20.5	10
2009-10-27	0	NULO	20	11
